instruction,option_a,option_b,option_c,option_d,correct_answer,chosen_answer,id
"Începând cu anul 2020, câți la sută din populația din regiunea Subsahariană a Africii trăiește cu mai puțin de 1,90 dolari?",10%,20%,40%,80%,C,C,global_facts/val/3
Încercarea de a obține acordul doar prin încercarea de a stârni anumite sentimente despre subiectul argumentului este greșeala de,ignoranța refutării,apelul la emoție,om de pai,tu quoque,B,A. ignoranța refuzării,logical_fallacies/val/2
Sutra Marelui Nor al norilor a profețit sosirea iminentă a cărei persoane?,Maitreya (Milo),Buddha,Zhou Dunyi,Wang Yangming,A,C,world_religions/val/8
Care dintre următoarele afirmații descrie nivelul structural al unei proteine care este cel mai puțin afectat de legături de hidrogen?,Structura primară depinde de secvența aminoacizilor.,Structura terțiară are o formă dependentă de interacțiunile laturilor laterale ale aminoacizilor.,Structura cvaternară rezultă din agregarea a mai mult de o unitate polipeptidică.,Un α-helix este un exemplu de structură secundară a unui polipeptid.,A,B,high_school_biology/val/21
Care este un nume alternativ pentru felul de mâncare 'rața Beijing'?,Rața Shanghai,Rața Peking,Rața Hong Kong,Rața Brooklyn,B,A,miscellaneous/val/66
"Un consiliu de administrație al emitentului ar participa, în mod obișnuit, la fiecare dintre următoarele activități, cu excepția:",Stabilirea strategiei și obiectivelor pe termen lung la care ar trebui aliniat sistemul lor informatic.,Supervizarea și monitorizarea testelor de control al calității la instalarea unui nou sistem informatic.,Asigurarea că resursele și competențele adecvate ale tehnologiei informației sunt disponibile pentru a îndeplini obiectivele strategice ale companiei.,Menținerea unei conștientizări asupra tehnologiei utilizate în prezent de către organizație pentru a asigura eficiența și eficacitatea acesteia în raportarea financiară.,B,B,professional_accounting/val/5
"Presupuneți că s-a stabilit cu succes o conexiune TLS între un client și un server. Stabilirea sesiunii a inclus verificarea certificatului serverului și executarea unui schimb DiffieHelmann, dar clientul nu a furnizat un certificat de client. În plus, presupuneți că clientul și serverul sunt cinstiți, că clientul și serverul nu divulgă cheile lor și că criptografia este bună. Împotriva căror dintre următoarele atacuri protejează TLS?
1. Un atacator furând cheia privată a serverului și citind textul simplu al conexiunilor trecute înregistrate.
2. Un atacator spărgând o autoritate de certificare și creând un certificat fals pentru server.","Adevărat, Adevărat","Fals, Fals","Adevărat, Fals","Fals, Adevărat",C,"Cea mai bună alegere pentru răspuns este C. Adevărat, Fals.",computer_security/val/5
Ce este puterea moale?,"Utilizarea de măsuri coercitive scurte de război, cum ar fi sancțiunile economice",Modalități în care valorile și cultura unei țări îi oferă influență în sistemul internațional,Utilizarea ineficientă a puterii proprii,Când statele utilizează „morcovi” (incentive) în loc de „bâte” (amenințări) pentru a influența alte țări.,B,D,us_foreign_policy/val/5
"Datorită unor leziuni cerebrale, Genna, în vârstă de 10 ani, a fost supusă unei intervenții chirurgicale pentru a-i fi îndepărtată aproape întreaga emisferă dreaptă a creierului. Care dintre observațiile următoare din ziua următoare operației ilustrează cel mai bine plasticitatea creierului?",Genna a fost capabilă să înțeleagă ce i s-a spus.,Genna a fost capabilă să vorbească.,Genna a fost capabilă să-și miște mâna stângă.,Genna a fost capabilă să-și miște piciorul drept.,C,B. Genna a fost capabilă să vorbească.,high_school_psychology/val/9
Care cuvânt se referă la cele cinci zone principale în care s-a împărțit creștinismul în perioada sa timpurie?,Prezbiterii,Scaune,Biserici,Sinoade,B,D,world_religions/val/4
"Luate toate celelalte în considerare, care dintre următorii bărbați este probabil sa fie cel mai fericit la pensie?","Gary, care este încă căsătorit","Leo, care nu s-a căsătorit niciodată","Josh, care este divorțat","Caleb, care s-a recăsătorit",A,B,human_aging/val/17
Tehnica de “comparație in perechi” este folosită pentru:,evaluarea performanței la locul de muncă a angajatului.,luarea deciziilor de angajare și plasare.,identificarea nevoilor de instruire ale angajatului.,determinarea compensației corespunzatoare pentru o poziție.,A,(B),professional_psychology/val/62
Falsitatea apelului la forță constă în,argumentarea că o idee sau argument ar trebui respins doar din cauza persoanei care a propus ideea,folosirea amenințărilor pentru a face pe cineva să fie de acord cu o idee sau să facă ceva,caracterizarea poziției unui opozant astfel încât să pară ridicolă,atacul la caracterul argumentatorului opus în locul argumentului acelei persoane,B,D,logical_fallacies/val/6
Stridorul este descris ca fiind:,Un sunet înăbușit.,Un sunet de gâlgâit.,Un sunet de fosnet.,Un sunet înalt și aspru.,D,A. Un sunet înăbușit.,clinical_knowledge/val/19
"Colton și tatăl său au cumpărat o găleată de vopsea care a costat 13 dolari. De asemenea, ei au mai cumpărat 2 pensule care au costat 9 dolari fiecare. Care a fost costul total, fără taxe, al pensulelor și vopselei cumpărate?",22 dolari,24 dolari,31 dolari,35 dolari,C,B,elementary_mathematics/val/0
"Metoda ________________ este una dintre abordările principale de segmentare a piețelor, adoptând perspectiva că piața este formată din clienți care sunt practic la fel, astfel încât sarcina constă în identificarea grupurilor care împărtășesc anumite diferențe.",Design de eșantion.,Descompunere.,Construire.,Identificarea profilului.,B,A. Design de eșantion.,marketing/val/22
Care dintre afirmațiile de mai jos poate fi caracterizată ca fiind cea mai puternică respingere a argumentului lui Bentham în favoarea codificării?,Legea este prea complexă pentru a fi codificată.,Codificarea rigidizează legea.,Bentham nu ia în considerare legea penală.,Părți semnificative ale legii sunt deja codificate.,A,(a),jurisprudence/val/5
O companie tocmai a emis obligațiuni convertibile cu o valoare nominală de 1000 de dolari și un raport de conversie de 40. Care dintre următoarele este cel mai probabil prețul de piață pe acțiune al acțiunilor obișnuite ale companiei în prezent?,Sub 25 de dolari.,25.00 dolari,Între 25 și 30 de dolari.,Peste 30 de dolari.,A,C,professional_accounting/val/23
"Pentru care dintre cele două scenarii personajul principal (care folosește I / me / my) face ceva clar greșit moral, conform standardelor morale obișnuite în SUA din 2020? Scenariul 1 | Îmi luam constant timp liber de la serviciu pentru a avea grijă de părinții mei în vârstă. Scenariul 2 | Am proiectat podul să cadă la primul vânt puternic.","Greșit, Greșit","Greșit, Nu e greșit","Nu e greșit, Greșit","Nu e greșit, Nu e greșit",C,"B. Greșit, Nu e greșit",moral_scenarios/val/39
"Dacă cerința de rezervă este de 2%, atunci multiplicatorul monetar este",5,5 la sută,50,50 la sută,C,B. 5 la sută,high_school_macroeconomics/val/31
Domnul Wood s-a întors recent de la operație și are sângerări interne severe. Care dintre următoarele observații nu ar trebui să apară în timpul observațiilor postoperatorii?,Hipotensiune.,Bradicardie.,Confuzie.,Tahipnee.,B,C. Confuzia,clinical_knowledge/val/1
Marea parte a dovezilor de cercetare sugerează că:,toate femeile au un punct G,toate femeile cu un punct G ejaculează,toate femeile cu un punct G au de asemenea o glandă prostatică,niciuna din cele de mai sus,D,D,human_sexuality/val/9
Un psiholog care crede în perspectiva umanistă ar fi cel mai probabil să fie de acord cu care dintre următoarele afirmații?,Toate comportamentele pot fi atribuite funcțiilor biologice umane.,Comportamentul oamenilor este în primul rând rezultatul liberului arbitru.,Comportamentul rezultă din condiționare.,Comportamentul uman este rezultatul unor motive inconștiente contradictorii.,B,B,high_school_psychology/val/11
Ce a contribuit la o participare scăzută la vot în alegerile din Statele Unite ale Americii?,Partide politice puternice,Cerințe de înregistrare a votanților,Creșterea vârstei medii a cetățenilor americani,Votul australian,B,D,miscellaneous/val/37
"Ce formă are curba lui Phillips pe termen lung, atunci când producția la capacitate maximă are un nivel de ieșire fix?",Orizontală,Convexă spre origine,Concavă spre origine,Verticală,D,B,high_school_macroeconomics/val/35
"Această întrebare se referă la următoarele informații.
Deoarece nicio persoană nu poate fi cu adevărat fericită, chiar și atunci când se bucură de cele mai mari libertăți civile, dacă este lipsită de libertatea conștiinței sale, în ceea ce privește profesiunea și practica sa religioasă; Și, pentru că Dumnezeu Atotputernic este singurul stăpân al conștiinței, Tatăl Luminilor și al Spiritelor; și autorul, precum și subiectul întregii cunoașteri, credințe și închinăciuni divine, care numai luminează mințile și conving și determină înțelegerea oamenilor, prin prezenta declarație, acord și declar, că nicio persoană sau persoane, care locuiesc în această provincie sau teritorii, care vor mărturisi și recunoaște un singur Dumnezeu Atotputernic, Creatorul, Sustinatorul și Guvernatorul Lumii; și își vor profesa obligația de a trăi în liniște sub guvernul civil, nu vor fi în nicio situație molestate sau vătămate în persoană sau avere, din cauza convingerilor lor sau a practicii conștiente, și nici nu vor fi siliți să frecventeze sau să susțină vreo închinare, loc sau minister religios, contrar voinței lor...
—William Penn, Carta de Privilegii Acordate de William Penn, esq. Către locuitorii din Pennsylvania și teritorii, 28 octombrie 1701
Carta de privilegii a lui Penn poate fi văzută ca un precursor al cărei eveniment istoric?",Declarația de Independență,Cele paisprezece puncte,Discursul de la Gettysburg,Primul amendament la Constituție,D,D. Primul amendament la Constituție,high_school_us_history/val/10
"Pentru care dintre aceste două scenarii face personajul principal (care folosește I / me / my) ceva în mod clar greșit moral, conform standardelor morale obișnuite în SUA din 2020? Scenariul 1 | L-am învârtit pe fiul meu în cerc până când a vomitat. Scenariul 2 | Încercam să atrag păsările la mașina mea cu recompense.","Greșit, greșit","Greșit, nu greșit","Nu greșit, greșit","Nu greșit, nu greșit",B,B,moral_scenarios/val/21
Doctrina dublului efect este numită astfel deoarece se referă la,acțiuni care sunt compuse din acțiuni mai simple.,cazuri în care efectuarea unei acțiuni ar avea cel puțin un efect bun și un efect negativ.,cazuri în care o acțiune ar avea cel puțin două efecte bune sau două efecte negative.,cazuri în care două acțiuni de același tip sunt efectuate în același timp.,B,"B - Cazuri în care, atunci când se efectuează o acțiune, iau naștere cel puțin două efecte bune sau două efecte negative.",moral_disputes/val/12
"Dintre cele următoare, care oferă cele mai valide și fiabile date despre indivizi pe măsură ce progresează prin diferite etape ale dezvoltării?",Studii transversale,Chestionare,Analiza tranzacțională,Studii longitudinale,D,D,high_school_psychology/val/7
Modelul care postulează că orice schimbare într-un context sau domeniu de dezvoltare poate perturba întregul sistem şi declanșa o reorganizare care conduce la o funcționare mai adaptivă este ___________.,Modelul Selectiv-Optimizare cu Compensație (SOC),Teoria sistemelor dinamice,Teoria cognitiv-dezvoltării,Teoria dezvoltării psihosociale,B,B,professional_psychology/val/33
"Cumpărătoarea Betty dorea să cumpere un automobil Volvo vechi de la vânzătoarea Sarah, care exprimase anterior interesul de a-l vinde. Betty i-a scris lui Sarah o scrisoare semnată pe 1 aprilie afirmând „Voi cumpăra Volvo-ul dvs. pentru 10.000 de dolari cash când aduceți vehiculul la domiciliul meu înainte de 5 aprilie. Această ofertă nu poate fi anulată.”.Pe 2 aprilie, Sarah a primit scrisoarea, la care a răspuns cu o altă scrisoare semnată în care a afirmat „Accept oferta dvs. și promit să vă livreze Volvo în momentul în care îl solicitați.”. Din păcate, Autoritatea Poștală a întârziat livrarea scrisorii Sarah pentru 10 zile. Între timp, Betty a decis să cumpere altă mașină. Când a aflat că Betty nu va finaliza tranzacția, Sarah a intentat un proces pentru încălcarea contractului. Instanța va considera probabil că",Trimiterea scrisorii de pe 2 aprilie nu a împiedicat o revocare ulterioară efectivă din partea lui Betty.,Scrisoarea datată pe 2 aprilie i-a obligat pe ambii părți la un contract bilateral la primire.,Scrisoarea datată pe 2 aprilie a obligat ambele părți la un contract unilateral.,"Scrisoarea datată pe 2 aprilie a fost efectivă pentru a forma un contract pe 12 aprilie, când a fost primită de ofertant.",A,"A. Trimiterea scrisorii de pe 2 aprilie nu a împiedicat o revocare ulterioară a comercianților de pe 1 aprilie, așa că Betty și Sarah au fost în măsură împotriva.",professional_law/val/24
Cei care petrec timp îngrijind un membru al familiei cu demență avansată au șanse să experimenteze,Aceeași demență,Depresie,O altă formă de demență,Izolare socială,B,(D) Izolare socială,human_aging/val/11
Managementul științific a implicat:,subdivizarea muncii în sarcini mici,măsurarea și specificarea sarcinilor de lucru,motivație și recompense pentru productivitate,toate cele de mai sus,D,D,sociology/val/0
"Unde este localizată Mesopotamia, între care două râuri?",Amazon şi Nil,Eufrat şi Nil,Tigris şi Eufrat,Tamisa şi Dunărea,C,C,prehistory/val/2
Un PLD combinational cu o matrice AND programabilă și o matrice OR fixă se numește,PLD,PROM,PAL,PLA,C,A. PLD,electrical_engineering/val/14
În ce situație un pârât nu ar fi ținut de standardul de grijă al unei persoane rezonabile?,Pârâtul este surd și este acuzat că a fost neglijent în neascultarea unei clopote de avertisment.,Pârâtul are un judecăț proastă.,Pârâtul are un temperament fierbinte și a deteriorat proprietatea într-un acces de furie.,Pârâtul are un IQ de 85.,A,C. Pârâtul are un temperament fierbinte și a deteriorat proprietatea într-un acces de furie.,professional_law/val/47
"Această întrebare se referă la următoarele informații.
""MESAJUL LUI MAHATMA GANDHI.
RĂMÂNEȚI NONVIOLENȚI
Următorul mesaj a fost trimis de Mahatma Gandhi din Waltair:—
 Maulana Mohamed AH a fost arestat la Waltair sub secțiunile 107 și 108 și i s-a cerut să dea garanție, să fie de bună conduită timp de un an. Locul și data procesului sunt necunoscute.
C Begum Saheba și domnul Hayat i s-a permis să îl vadă după arestare.
 El și cu mine urmau să susținem un discurs în afara stației. El a fost arestat. Am continuat să merg la întâlnire și le-am adresat cuvântul. Nu există motive de tristețe, ci doar motive de felicitare. Nu ar trebui să fie organizat un hartal. Trebuie observată pacea și calmul perfect. Consider arestarea ca un preludiu al Swaraj și remedierea greșelilor Khilafat și Punjab, dacă putem rămâne non-violenți. Mențineți unitatea hindus-musulmană, în ciuda nebuniei unor Moplahs, și îndepliniți programul Swadeshi.
 Sper ca fiecare indian, bărbat sau femeie, să boicoteze complet țesăturile străine și să înceapă să filatureze sau să țese în fiecare minut liber.
 Prin străduința precum a lui Maulana, să fim insistent cu privire la drepturile religioase și naționale.
 Haidem să câștigăm încarcerarea. Sunt conștient de inocența lui Maulana și sunt sigur că închisoarea celor nevinovați va permite națiunii să ajungă la obiectivul dorit.""
Mohandas Gandhi, Marșul Pelerinilor, 1921
Boicotul menționat în al cincilea paragraf este cel mai bine înțeles în contextul căruia dintre următoarele dezvoltări istorice?",Protecționismul indian față de importul de cantități mari de produse manufacturate străine,Eforturile indiene de a obține autoguvernare și independență,Colectivizarea forței de muncă indiene și agitarea pentru condiții de lucru mai bune,Eforturile indiene de a menține o poziție non-aliniată în timpul Războiului Rece,B,A,high_school_world_history/val/7
"Un investitor a fost deținătorul înregistrat în proprietatea în întregime a unei parcele de 125 de acri situată în partea de sud-vest. Investitorul a transferat proprietatea ""asistentului meu pe viață, cu restul de proprietate ce rămâne fiului meu. "" La momentul transferului, fiul era la facultatea de medicină în afara Statelor Unite. Asistentul a înregistrat imediat actul și a preluat posesia. Pe scurt, asistentul a descoperit că proprietatea conținea depozite mari de cărbune, pe care le-a exploatat și a început să le vândă. La trei ani după transferul inițial, fiul a absolvit facultatea de medicină și s-a întors în partea de sud-vest. Apoi, a aflat despre transfer și a aflat, de asemenea, că asistentul nu a plătit taxele pentru parcele de pământ în ultimii trei ani. După ce a aflat că proprietatea era supusă unui iminent executări fiscale, fiul a cerut ca asistentul să plătească taxele restante. Chiar dacă profiturile din vânzări de cărbune au fost destul de substanțiale, asistentul a refuzat să plătească taxele restante. Fiul a achitat taxele singur. Dacă fiul intentează o acțiune împotriva asistentului pentru recuperarea taxelor și pentru o contabilitate a veniturilor obținute din vânzarea de cărbuni, sentința ar trebui să fie","în favoarea fiului pentru taxe, dar nu pentru cărbune.","în favoarea fiului pentru cărbune, dar nu pentru taxe.","în favoarea fiului atât pentru taxe, cât și pentru cărbune.",împotriva fiului pentru taxe și cărbune.,C,"Probabil că fiul este mai interesat să-și afle cât plătește din restul ca urmare a plasării pe conturi, dar trebuie să ia în considerare și potențialul unor acțiuni penale legate de falimentatare.",professional_law/val/60
Un înotător este capabil să se propulseze înainte prin mișcarea brațelor sale. Care dintre următoarele afirmații indică în mod corect solicitantul și beneficiarul forței responsabile pentru accelerarea înainte a înotătorului?,Forța apei înconjurătoare asupra brațelor înotătorului,Forța brațelor înotătorului asupra toracelui său,Forța brațelor înotătorului asupra apei înconjurătoare,Forța toracelui înotătorului asupra brațelor sale,A,C. Forța brațelor înotătorului asupra apei înconjurătoare,high_school_physics/val/3
Care dintre următoarele descrie un rezultat nedorit al Legii federal de Campanie electorală din 1974?,Limitările s-au pus pe suma de bani pe care indivizii o puteau dona campaniei electorale federale.,Fondurile federale au devenit disponibile pentru candidații prezidențiali care sunt de acord să respecte limitele de cheltuieli.,Candidații au scăzut drastic suma de bani cheltuită pe publicitatea televizată.,Mii de comitete de acțiune politică au fost create pentru a strânge fonduri pentru candidați.,D,A. Limitările,high_school_government_and_politics/val/3
"Atunci când sunt folosite mai multe măsuri dependente într-un singur studiu, o analiză multivariată de varianță ar fi preferabilă în locul unei analize separate univariate pentru fiecare măsură dependentă, pentru a reduce",numărul de erori de tipul II,cantitatea de variație a erorii,numărul de erori de tipul I,magnitudinea influenței covariației,C,A.,professional_psychology/val/67
"Această întrebare se referă la următoarele informații. Iată cazul unei femei angajate în departamentul de fabricație a unei case de pe Broadway. Ea reprezintă o sută ca ea. Ea câștigă în medie trei dolari pe săptămână. Plata este de 1,50 dolari pentru camera ei; pentru micul dejun are o ceașcă de cafea; prânzul nu și-l poate permite. O singură masă pe zi este alocația ei. Această femeie este tânără, ea este drăguță. Ea are ""lumea înaintea ei."" Nu este nimic mai puțin decât un miracol dacă ea nu este vinovată de nimic mai puțin decât de ""căsătoria timpurie și improvidentă,"" împotriva căreia moralistii se revolta ca una dintre cauzele prolifice ale suferințelor săracilor? Aproape orice ușă poate părea să ofere o evadare binevenită din sclavia aceasta. „Mă simt mult mai sănătos de când am primit trei mese pe zi”, a spus un chiriaș în una dintre Casele pentru fete. Două fetițe de croitorie au venit în căutarea unui serviciu domestic, astfel încât să poată mânca suficient. Ele au fost fost evlavioase doar pe jumătate pentru o perioadă, iar foametea le-a condus la singura ușă la care mândria fetei născute în America nu-i permite să bată, cu toate că sărăcia este prețul independenței ei.
 -Jacob Riis, Cum trăiesc cei mai săraci, 1890
Care dintre următoarele ar fi cel mai probabil să susțină perspectiva exprimată de Riis în pasajul de mai sus?",Un susținător al Darvinismului Social,Un Progresist,Un om de afaceri,Un opozant al imigrației,B,B,high_school_us_history/val/19
În ce din următoarele țări s-a produs terorism susținut de stat recent?,Rwanda,Statele Unite,Canada,Spania,A,B. Statele Unite,high_school_geography/val/16
"Pacienții cu fibroză chistică (CF) au adesea pierderea activității pancreatice în timpul anilor lor de adolescență. Pierderea cărui enzimă, dacă ar fi izolată, ar duce la cele mai mari efecte asupra absorbției nutrienților?",Lipază,Elastino-gen,Tripsinogen,Carboxipeptidază,C,B. Elastinogene,college_medicine/val/12
Cum se pot produce mai multe proteine diferite din același gen?,Prin transcrierea selectivă a diferitelor părți ale ADN-ului din genă.,Prin dublarea sau triplarea lungimii moleculei ARNm produsă din transcriptul primar.,"Transcriptele primare ale multor gene pot fi splicate în diverse moduri pentru a produce ARNm diferite, proces cunoscut sub numele de splicing alternativ al ARN-ului.",Prin splicing-ul moleculei ARNm după ce a fost formată din transcriptul primar.,C,[B],clinical_knowledge/val/17
"Utilizați tabelele de adevăr indirecte pentru a determina dacă fiecare set de propoziții este coerent. Dacă setul este coerent, alegeți o opțiune cu o evaluare coerentă. (Pot exista și alte evaluări coerente.)
(G ≡ H) ⊃ H
~H ∨ I
G · ~I",Incoerent,"Coerent. Evaluare coerentă când G, H și I sunt adevărate",Coerent. Evaluare coerentă când G și H sunt adevărate și I este fals,Coerent. Evaluare coerentă când G este adevărat și H și I sunt false,D,B,formal_logic/val/13
"Pentru care dintre cele două scenarii protagonista (care utilizează I/me/my) face ceva clar moral greșit, conform standardelor morale obișnuite din SUA în 2020? Scenariul 1 | Am aruncat o minge în vaza mamei. Scenariul 2 | Am umflat balonul și l-am dat înapoi copilului.","Greșit, Greșit","Greșit, Nu e greșit","Nu e greșit, Greșit","Nu e greșit, Nu e greșit",B,B,moral_scenarios/val/86
Rezolvați 3 împărțit la 2 * w = 66.,33,44,88,99,B,C. 88,elementary_mathematics/val/2
___________ acționează ca indicii indicând unui potențial client că există o ofertă specială.,Prețuri cu numere impare.,Semne de vânzare.,Preț relativ.,Suprasolicitare de preț.,B,C. Preț relativ.,marketing/val/0
"În testamentul său, un jocheu a lăsat casa sa ""prietenului meu căruia îi sunt veșnic recunoscător pentru grija devotată pe care a avut-o față de caii mei, dar dacă vreodată caii mei care mă supraviețuiesc nu vor primi îngrijire corespunzătoare, atunci casei mele îi revine fiica mea iubită și urmașii ei, dacă ea trăiește și deține cai, altfel Societății Ecvestre. ""Într-o acțiune adecvată pentru a interpreta testamentul, instanța va determina interesul prietenului a fi",propriété simple déterminable.,propriété simple subordonnée à une condition ultérieure.,propriété simple sous réserve d'un intérêt exécutoire.,propriété à terme contingente.,C,B. propriété simple subordonnée à une condition ultérieure.,professional_law/val/157
"Această întrebare se referă la următoarele informații.
Meng Yizi a întrebat despre tratamentul părinților. Maestrul a spus: „Niciodată nu îi dezobedienți!”. Când Fan Chi conducea trăsura pentru el, [l-a întrebat]: „În ce sens ai spus asta?” Maestrul a spus: „În timp ce sunt în viață, slujește-le conform ritualului adecvat. Când mor, îngroapă-i conform ritualului adecvat și sacrifică-le conform ritualului adecvat.”
Confucius, Analectele, Cartea a 2-a, Capitolul 5
În China și regiunile pe care a influențat-o, învățăturile confucianiste cum ar fi aceasta au fost folosite politic în următoarele scopuri?",Pentru a motiva fapte de caritate,Pentru a justifica războiul împotriva statelor vecine,Pentru a realiza egalitatea de gen,Pentru a consolida ierarhia socială,D,(d),high_school_world_history/val/11
"Un bărbat de 45 de ani cu SIDA se prezintă la centrul de sănătate comunitar din cauza unei istorii de o săptămână cu febră, frisoane, transpirații, ușoară lipsă de aer și tuse neproductivă. Istoricul medical este de asemenea notabil pentru pneumonie acum 3 ani care a necesitat spitalizare. Astăzi, el afirmă că și-a pierdut locul de muncă acum 6 luni, este acum fără adăpost și nu își poate permite să-și cumpere medicamentele antiretrovirale. Semnele vitale sunt temperatura 38,6°C (101,5°F), puls 82/min, respirații 20/min și tensiune arterială 116/72 mm Hg. Oximetria pulsului pe aer ambient arată o saturație de oxigen de 97%. Centrul de sănătate este foarte aglomerat cu mai mulți pacienți care așteaptă să fie evaluați. Care dintre următoarele este următorul pas cel mai adecvat?",Aranjați o admitere directă în spital pentru acest pacient.,Continuați cu obținerea unei istorii complete și examinarea acestui pacient.,Plasați măști pe pacient și pe dumneavoastră și continuați să-l evaluați.,"Trimiteți acest pacient pentru radiografii pulmonare, iar în timp ce acestea sunt obținute examinați următorul pacient.",C,B,professional_medicine/val/8
"Această întrebare se referă la următoarele informații. ""Națiunea italiană a fost în cele din urmă unită în zilele noastre și ne-am bucurat cu toții de uniunea sa. Totuși, ne putem permite să avem îndoieli în privința faptului că uniunea nu a fost puțin prea rapidă și puțin prea profundă. Este cu siguranță o unitate prea mare să ștergi toate urmele existenței independente și, în mare parte, să ștergi chiar și numele însăși, a unei astfel de țări ca Sicilia. Ne deranjează să descoperim că, în timp ce Irlanda cel puțin face parte din stilul regal al suveranului său, Sicilia nu mai este nici măcar o expresie geografică. Regatul insulei a lui Roger a ajuns să fie șapte provincii ale regatului de pe continent. Și există un alt rezultat al unității italiene, un rezultat în care putem să ne bucurăm fără dezavantaje, dar care totuși are ceva de tristețe atunci când încheie definitiv acea mare fază a istoriei Europei cu care am avut de-a face în întregime. Nu au fost niciodată legături cu trecutul atât de abrupt rupte precum în momentul în care armata Italiei a intrat în Roma eliberată. Din toate noutățile din istoria europeană, cea mai mare a fost atunci când Roma a devenit centrul unei dominații cu limite și granițe recunoscute, capul în scurt timp al unui regat local italian. ""Roma capitala Italiei"" a fost o formulă care ar fi putut mulțumi inimile noastre, dar a fost o formulă care a șters oficial poziția ecumenică și tradițiile ecumenice ale Romei... Dar regatul Italiei nu este un atașament al Romei; Roma este capul regatului. Totul este mai mare decât partea sa; Roma, prin propria voință și prin voința liberă a Italiei, a devenit mai puțină decât Italia. Devenind capul dispus al unui regat italian, ea și-a aruncat oficial tradițiile imperiale așa cum nu au fost aruncate atunci când forța bruta a făcut-o capul unui departament francez. ""Edward A. Freeman, istoric și politician britanic, Cele mai importante perioade ale istoriei europene, 1885
Cine a fost liderul din acea perioadă din Italia căruia probabil autorul i-ar lua excepție?",Napoleon III,Giuseppe Garibaldi,Victor Emmanuel,Count Cavour,B,C. Victor Emmanuel,high_school_european_history/val/0
Mucoasa faringiană este inervată de nervii glosofaringieni deoarece se dezvoltă din,primul arc faringian.,al doilea arc faringian.,al treilea arc faringian.,al patrulea arc faringian.,C,B. Al doilea arc faringian.,anatomy/val/12
"Această întrebare se referă la următoarele informații.
Yi Yin s-a sacrificat în fața fostului rege și l-a prezentat cuvios pe moștenitorul-regal în fața altarului bunicului său. . . . Yi Yin a descris apoi clar virtutea Strămoșului Meritoriu pentru instruirea tânărului rege.
""Ah! înainte, foștii regi ai Xia și-au cultivat cu seriozitate virtutea, și nu au existat calamități de la Cer. Spiritele dealurilor și râurilor erau toate în liniște; iar păsările și animalele își trăiau existența conform naturii lor. Dar descendentul lor nu a urmat exemplul lor, și Cerul a trimis catastrofe, folosindu-se de conducătorul nostru, care a fost favorizat. Atacul asupra Xia poate fi urmărit până la orgiile din Ming Tiao. . . . Regele nostru de Shang și-a afișat strălucit competența sa înțeleaptă; pentru opresiune a înlocuit generozitatea sa blândă. Acum Majestatea ta intră în moștenirea virtuții sale; totul depinde de cum începi domnia ta.
""Ah! fostul rege a început cu atenție la legăturile care țin oamenii împreună. . . . Respectați aceste avertismente în propria persoană. . . . Căile Cerului nu sunt invariabile: pe cel care face bine îi trimite toate binecuvântările, și pe cel care face rău îi trimite toate suferințele. Dacă nu ești virtuos, fie că este în lucruri mari sau mici, va aduce ruinarea templului tău ancestral.""
—Extras și adaptat din Shu Jing, secolul al VI-lea î.e.n., China
Care dintre următoarele susține cel mai bine importanța cultului strămoșilor în China în perioada 600 î.e.n. - 600 e.n.?","Foștii regi ai Xia și-au cultivat cu seriozitate virtutea, și nu au existat calamități de la Cer.",Va aduce ruinarea templului tău ancestral.,L-a prezentat cuvios pe moștenitorul-regal în fața altarului bunicului său.,Fostul rege a început cu atenție la legăturile care țin oamenii împreună.,C,"(A) Foștii regi ai Xia și-au cultivat cu seriozitate virtutea, iar nu au existat calamități de la Cer.",high_school_world_history/val/8
"Unul dintre obiectivele filozofiei este de a gândi critic dacă există motive bune pentru adoptarea credințelor noastre. Motivele sunt considerate ""bune"" dacă sunt în concordanță cu experiența de zi cu zi și:","fac parte dintr-un set de credințe religioase, morale sau politice pe care un individ le simte profund.","sunt considerate bune de cel puțin o cultură, sub-cultură sau individ.",nu pot fi interpretate în moduri diferite de către diferite persoane sau culturi.,"iși iau în considerare obiecțiile, sunt acceptabile pentru terți imparțiali și evită consecințele nedorite.",D,B,philosophy/val/0
Modelul transteoretic al lui Prochaska și DiClemente (1992) se bazează pe presupunerea că o intervenție este cea mai eficientă atunci când:,se potrivește cu stadiul de schimbare al clientului.,se potrivește cu diagnosticul și severitatea simptomelor ale clientului.,terapeutul adoptă stilul comportamental și afectiv al clientului.,clientul își stabilește propriile obiective terapeutice și evaluează propriul progres.,A,A,professional_psychology/val/60
Să presupunem că un test care arată că valoarea reală a coeficientului de intercepție este zero duce la neacceptarea ipotezei nule. Care ar fi concluzia adecvată?,Eliminați intercepția și reluați regresia,Păstrați intercepția,Recalculați statisticile testului,Linia de regresie trece exact prin origine,B,(a),econometrics/val/0
Analiza RFLP este o tehnică care,folosește hibridizarea pentru a detecta fragmente specifice de restricție ale ADN-ului în ADN genomic,este utilizată pentru a determina dacă un gen este transcris în celule specifice,măsoară frecvența transferului de gene în timpul conjugării,este utilizată pentru a detecta variația genetică la nivelul proteinelor,A,A. analiza RFLP (restricție luminoasă a fragmentelor),medical_genetics/val/1
